disease,symptom_cleaned,Causes,Symptoms
shingles,"a headache, postherpetic neuralgia, a feeling of being generally unwell, antidepressants – used for severe pain, eye problems, sometimes shingles causes symptoms that develop a few days before the painful rash. this includes symptoms like:, burning, tingling, numbness or itchiness of the skin in the affected area, there’s no cure for shingles. but, there are ways to ease your symptoms until the condition improves",,"ramsay hunt syndrome, transverse myelitis ), , pneumonia ), liver, rare ., non, like :, burning, ways to ease, loss of pigment, rash becoming infected, hepatitis ), brain, fever ), "
shortness of breath,"pneumothorax – partial collapse of your lung caused by a small tear in the lung surface, which allows air to become trapped in the space around your lungs, diabetic ketoacidosis – a complication of diabetes where acids build up in your blood and urine, a severe allergic reaction (anaphylaxis), obesity, anaemia, more unusual causes of long-term breathlessness are:, being unfit, a problem with your heart rate or rhythm, heart failure, pulmonary embolism – a blockage in one of the blood vessels in the lung, more unusual causes include:, it’s possible to have a heart attack without having all the obvious symptoms, such as chest pain and anxiety., poorly controlled asthma, pleural effusion – excess fluid next to the lung, chronic obstructive pulmonary disease (copd), idiopathic pulmonary fibrosis – a condition that causes scarring of the lungs",,"severe allergic reaction, pulmonary embolism –, diabetic ketoacidosis –, anaphylaxis ), obesity, heart attack without, complication of diabetes, heart rate, heart failure, scarring of, one of"
sickle cell disease,"drowsiness, confusion, or slurred speech, a fast heartbeat, enlarged spleen – this can cause a fast heartbeat, worsening of anaemia, a swollen tummy, shortness of breath and abdominal pain, people with acute chest syndrome need emergency treatment – this involves oxygen, blood transfusions, antibiotics, and fluids given through a vein, as well as possibly hydroxycarbamide to prevent it happening again, most of the time, anaemia doesn’t have any symptoms and you won’t require any treatment for it. however, children with sickle cell anaemia who are also on a restricted diet (such as a vegan or vegetarian diet) may need folic acid supplements. folic acid helps your body to create more red blood cells, so it can help to improve anaemia",,"slapped cheek syndrome, folic acid helps, to seven days, responding to treatments, going to 38c, easier to live, addition to preventing, able to travel, stimulate blood flow, red blood cells"
sinusitis,"pain and tenderness around your cheeks, eyes or forehead, controlling underlying conditions like allergies may improve the symptoms of chronic sinusitis., toothache, a green or yellow discharge from your nose, a blocked nose, if your symptoms are mild and getting better, you can often treat sinusitis without seeing a gp., a high temperature (fever) of 38°c (100",related to :,"yellow discharge from, prescribe antibiotics tablets, last 3 months, 4 ° f, chronic sinusitis )., , acute sinusitis )., surgery to improve, , referred to, of sinusitis"
sjogren’s syndrome,"sjögren’s syndrome can be difficult to diagnose, because it has similar symptoms to other conditions and there is no single test for it., nausea, stomach cramps, your saliva and tear glands play a vital role in protecting your mouth and eyes, which is why the symptoms of sjögren’s syndrome can be widespread and troublesome., joint pain, stiffness and swelling, abdominal (stomach) pain, loss of appetite, difficulty concentrating, remembering and reasoning, sjögren’s syndrome can be difficult to diagnose because the symptoms are similar to those of other health conditions",,"falling oestrogen levels, excessive sweating ), , production of tears, loss of appetite, antibodies start attacking, affects around 5, tailored to suit, shown to slow, embarrassed to wear, difficult to reach"
skin cancer (melanoma),"radiotherapy, changing shape, treating melanoma, nausea, loss of appetite, diagnosing melanoma, treatment is available and given in the hope that it can slow the cancer’s growth, reduce any symptoms you may have and possibly extend your life expectancy., chemotherapy involves using anti-cancer (cytotoxic) drugs to kill the cancer. it is normally used to treat melanoma that has spread to parts of the body and is mainly given to help relieve symptoms of advanced melanoma",,"magnetic resonance imaging, uva ), nivolumab, positron emission tomography, loss of appetite, published guidelines to, operation to remove, drugs to kill, right tests faster, chemotherapy ., ultraviolet, unpleasant side effects"
skin cancer (non-melanoma),"the main sign is a red, scaly patch on the skin which may itch. it most commonly affects elderly women and is often found on the lower leg. however, it can appear on any area of the skin",,"women ., medicines, ., older age, melanoma skin cancers, specialist plastic surgeon, immunosuppressants ), commonly, melanoma skin cancer, melanoma skin cancer, melanoma skin cancer, melanoma skin cancer, melanoma skin cancer"
skin light sensitivity (photosensitivity),"calcium channel blockers, through light clothing, juvenile spring eruption, cockayne syndrome, itching, psychological support may be needed if light sensitivity affects your day-to-day life., st john’s wort, rothmund-thomson syndrome, skin rash, light sensitivity conditions can be put into different groups depending on what causes them., actinic prurigo, dermatomyositis, light sensitivity symptoms can be a side effect of some drugs or chemicals, for example:, doxycycline, psoriasis, bloom syndrome, these symptoms can range from mild to severe",,"side effect of, juvenile spring eruption, fatigue ., phenothiazines, different groups depending, calcium channel blockers, polymorphic light eruption, ., actinic prurigo, light sensitivity conditions, light sensitivity affects, chronic actinic dermatitis"
skin rashes in children,"erythema multiforme causes spots. these look like targets with a dark red centre and paler ring around the outside., urticaria, it causes a temporary rash of raised, red scaly patches",,"highly infectious illness, close physical contact, clusters of small, appear almost anywhere, outside ., urticaria, brown crust ., , antibiotics ., back, nothing to worry, days to leave, 1 to 5"
slapped cheek syndrome,"you’ve been exposed to anyone with slapped cheek syndrome or you have symptoms of the infection and:, symptoms of slapped cheek syndrome usually develop 4 to 14 days after becoming infected. sometimes, symptoms may not appear for up to 21 days., some people with slapped cheek syndrome won’t notice any early symptoms, but most people will have the following symptoms for a few days:, slapped cheek syndrome (also called fifth disease or parvovirus b19) is a viral infection",,"weakened immune system, slightly high temperature, slapped cheek syndrome, slapped cheek syndrome, sickle cell anaemia, exposed to anyone, bright red rash, shortness of breath, of severe anaemia, affect people of"
sleeping safely,"sids happens most often during sleep at any time, day or night. doctors don’t yet know what causes it but it’s most likely to happen in the first 6 months. babies born early and underweight, and twins or multiple babies are more at risk",,"likely to happen, first 6 months, babies born early, multiple babies, yet know, sids happens, ’, ’, underweight, twins"
soft tissue sarcomas,"although it is much more likely you have a benign (non-cancerous) condition, it is important to get your symptoms checked out., a biopsy – where a sample of suspected cancerous tissue is removed using a needle or during an operation so it can be tested and analysed in a laboratory, leiomyosarcomas – which develop in muscle tissue, in 2015, the national institute for health and care excellence (nice) published guidelines to help gps recognise the signs and symptoms of soft tissue sarcoma and refer people for the right tests faster. to find out if you should be referred for further tests for suspected soft tissue sarcoma, read the nice 2015 guidelines on suspected cancer: recognition and referral",number of factors,"need regular check, magnetic resonance imaging, published guidelines to, occupational therapy to, important to get, wide range of, soft tissue sarcomas, soft tissue sarcoma, soft tissue sarcoma"
soft tissue sarcomas: teenagers and young adults,"living with a soft tissue sarcoma, if it’s in an arm or leg, symptoms include a lump or swelling in the limb – this is usually painless, but not always, if it’s in your bladder, symptoms include pain in the lower tummy, finding it difficult to pee (pass urine), and having blood in your pee, the symptoms of a sarcoma will depend on where it is:, remember – most people with these symptoms won’t have a sarcoma.  but if you have any of these symptoms, or are worried that you may have a sarcoma, the first thing to do is to speak to your gp. they’ll examine you and refer you to a hospital if they think you need to see a specialist doctor",,"weight loss ., , specialist doctor ., , toilet to poo, problems going to, first thing to, :, remember –, pass urine ), , to speak to, number of areas, loss of appetite"
sore throat,"complete our self-help guide to check your symptoms and find out what to do next., find out more about your sore throat symptoms",,"next ., find, guide to check, sore throat, to, find, self, complete"
spina bifida,"suppositories and enemas – medicines put into the bottom to help relieve constipation, latex allergy, hydrocephalus (excess fluid on the brain), laxatives – a type of medication to help empty the bowels, curvature of the spine due to muscle weakness (scoliosis), anal irrigation – specialist equipment that pumps water through a tube in your bottom to empty the bowel, kidney problems, it’s not known exactly what causes spina bifida. but, there are some things that can increase the risk of a baby developing the condition., urinary incontinence, colostomy – surgery that connects one end of the large bowel through an opening in the tummy so waste can be collected in a pouch, weakness or complete loss of movement of lower limbs, repeat or frequent urinary tract infections, urinary retention, antibiotics to help prevent urinary and kidney infections, closed spinal defect is less severe",,"closed spinal defect, urge to pee, leading to constipation, bladder to reduce, colostomy – surgery, urinary catheterisation to, spina bifida affects, to muscle weakness, bottom to empty, bottom to"
spleen problems and spleen removal,"watch out for signs of infection, such as:, young children have a higher risk of serious infection than adults, but the risk is still small. the risk is also increased if you have a medical condition such as sickle cell anaemia, coeliac disease or a condition that affects your immune system, such as hiv., cough, dizziness and a rapid heart rate (a sign of low blood pressure caused by blood loss), feeling discomfort or pain behind your left ribs, frequent infections, easy bleeding, pain behind your left ribs and tenderness when you touch this area, headache with drowsiness or a rash, feeling full very quickly after eating (an enlarged spleen can press on the stomach), another risk is the surgical wound becoming infected","signs of infection, signs of infection","sickle cell anaemia, rapid heart rate, hiv ., cough, :, young children, :, sore throat, :, high temperature, signs of, swelling around"
stillbirth,the stillbirth or death of a newborn baby can happen for lots of reasons and doctors don’t yet know all the causes.,,"lots of reasons, death of, yet know, newborn baby, ’, stillbirth, happen, doctors"
stomach ache and abdominal pain,"serious causes of sudden severe abdominal pain include:, a bleeding or perforated stomach ulcer, period pain – painful muscle cramps in women that are linked to the menstrual cycle, complete our self-help guide to check your symptoms and find out what to do next., eating contaminated food (food poisoning), a uti that keeps returning, kidney stones – small stones may be passed out in your urine, but larger stones may block the kidney tubes, and you’ll need to go to hospital to have them broken up, possible causes in adults include:, diverticulitis – inflammation of the small pouches in the bowel that sometimes requires treatment with antibiotics in hospital, coming into close contact with someone who’s infected, ectopic pregnancy – when a fertilised egg develops outside the womb – ectopic pregnancy can be very serious if it isn’t treated, possible causes in children include:, inflammatory bowel disease (ibd) – for example crohn’s disease, ulcerative colitis and endometriosis, stomach ulcer, appendicitis – the swelling of the appendix means your appendix will need to be removed, gastritis (inflammation of the stomach lining), acute cholecystitis – inflammation of the gallbladder, which may need to be removed, a urinary tract infection (uti) that keeps returning – you’ll usually also have a burning sensation when you urinate, heartburn and acid reflux, irritable bowel syndrome (ibs) – the pain is often relieved when you go to the toilet, abdominal migraines – recurrent episodes of abdominal pain with no identifiable cause, constipation",urinary tract infection,"sometimes requires treatment, food poisoning ), , perforated stomach ulcer, irritable bowel syndrome, guide to check, ectopic pregnancy –, keeps returning –, stomach ulcer, keeps returning"
stomach cancer,"causes of stomach cancer, trapped wind and frequent burping, loss of appetite, anaemia (a reduced number of red blood cells that can cause you to feel tired and breathless), difficulty swallowing (dysphagia), persistent indigestion, in some cases, it’s not possible to eliminate the cancer or slow it down. in this case, your treatment will aim to relieve your symptoms and make you as comfortable as possible, usually with surgery or radiotherapy., how long you’ll need to have radiotherapy for will depend on how it’s used",,"unexpected weight loss, lasts 5 weeks, necessary pain relief, prevents food from, peripheral neuropathy ), , loss of appetite, to feel tired, published guidelines to, easy to mistake, aim to relieve"
stomach ulcer,"you’ll be given a course of ppi medication, headaches, stomach cramps, bleeding at the site of the ulcer, loss of appetite, fatigue, blood test, you’re passing dark, sticky, tar-like stools, more about the causes of stomach ulcers, a metallic taste in your mouth, symptoms include:, feeling sick, dizziness, rashes, pale skin, down to your belly button, stool antigen test – a small stool sample is tested for the bacteria, less common symptoms of a stomach ulcer include:, taking non-steroidal anti-inflammatory drugs (nsaids), such as ibuprofen or aspirin – particularly if they’re taken for a long time or at high doses, feeling more full than usual after eating less food, diarrhoea, however, avoiding stress, alcohol, spicy foods and smoking may reduce your symptoms while your ulcer heals., stress, out from the middle of your tummy up to your neck, aspirin, a medication called a proton pump inhibitor (ppi), the stomach lining at the site of the ulcer splits open – known as perforation, heartburn, vomiting large amounts of undigested food, more about the symptoms of a stomach ulcer, but these can make the symptoms worse., contact your gp or the nhs 24 111 service immediately if you have symptoms of more severe bleeding, including:, spicy foods, alcohol, abdominal (tummy) pain, an infection with helicobacter pylori (h",,"small stool sample, proton pump inhibitor, infected without realising, digestive system –, appear bright red, urea breath test, :, taking non, worse ., contact, unexplained weight loss, movement of food"
streptococcus a (strep a),"erysipelas (a type of cellulitis), necrotising fasciitis (a severe infection involving death of areas of soft tissue below the skin), impetigo, cellulitis, scarlet fever, streptococcal toxic shock syndrome (rapidly progressive symptoms with low blood pressure and multi-organ failure), often symptoms that look like gas infections, like sore throats, are more commonly caused by viruses than gas bacteria. if you or your child has a runny nose with their sore throat, it’s likely to be a virus infection. sore throats caused by viruses do not need to be treated with antibiotics unless there are concerns about complications","sore throats caused, commonly caused","skin ), impetigo, organ failure ), , low blood pressure, bloodstream ), tonsillitis, like sore throats, sore throat, sore throat, sore throat"
stroke,"a sudden and very severe headache, time – it’s time to phone 999 immediately if you see any of these signs or symptoms, face – the face might drop on one side, the person may not be able to smile or their mouth may have dropped, and their eyelid may droop, a person having a stroke might not have all of these symptoms. if you notice any of these symptoms, you should consider a person may be having a stroke., the type of scan you may have depends on your symptoms",,"serious warning sign, magnetic resonance imaging, burst blood vessel, blood sugar levels, blood clot obstructing, despite appearing to, able to talk, able to smile, able to lift, blood supply to"
subacromial pain syndrome,"high fat diet, obesity, treatment options depend on the severity of your symptoms. although, most cases improve on their own, some cases can take time to resolve., this information is useful for those who have been diagnosed with subacromial pain syndrome",high fat diet,"treatment options depend, subacromial pain syndrome, type 1, talk to, severity of, healthcare professional, got worse, experiencing new, 2 ), "
sunburn,"blistering or swelling of the skin (oedema), skin cancer – including both melanoma and non-melanoma skin cancer, a high temperature (fever) of 38c (100.4f) or above, or 37.5c (99",skin damage caused,"keratoses – rough, eye problems –, melanoma skin cancer, wraparound lenses, week ., , weave fabrics, to relieve, snow blindness, sleeved top"
supraventricular tachycardia,"ambulatory heart monitor, anxiety, echocardiogram, electric shock treatment (dc cardioversion) in an urgent case, common causes of supraventricular tachycardia in people at risk of the condition include:, radiofrequency ablation, a change in posture, smoking, alcohol, these symptoms vary in length and frequency., medication, like beta blockers and other anti-arrhythmic drugs, stress, some medications, caffeine, recreational drugs, electrocardiogram (ecg)",risk of,"like beta blockers, frequency ., medication, electric shock treatment, ambulatory heart monitor, :, radiofrequency ablation, of supraventricular tachycardia, urgent case, recreational drugs, dc cardioversion"
swollen glands,"a throat infection, glandular fever, the lymph glands (or lymph nodes) are small lumps of tissue that contain white blood cells. these help to fight bacteria, viruses and anything else that causes infection. they’re an important part of the immune system and are found throughout the body",,"important part of, become suddenly tender, to fight bacteria, to ease, sore throat, lymph nodes, immune system, glandular fever, found throughout, fever ., "
syphilis,"deafness, skin rashes, less common symptoms include:, heart disease, syphilis will then move into a stage where you will experience no symptoms. you’re still infected during this stage. this is called ‘latent syphilis’",infection to others,"swollen lymph glands, sexual health services, months ., stroke, first year of, syphilis develop serious, couple of years, of tertiary syphilis, of tertiary syphilis, of secondary syphilis"
tennis elbow,"high fat diet, diabetes (type 1 and 2), lifting, obesity, writing, if your tennis elbow hasn’t improved, or it’s got worse, within 6 weeks of following this advice, it’s a good idea to talk to a healthcare professional about your symptoms., this information may be useful for those who have been diagnosed with tennis elbow. people who are experiencing new or ongoing symptoms should contact their healthcare professional",high fat diet,"high cholesterol levels, 2 ), lifting, forearm ., pulling, type 1, outside of, lateral epicondylitis, healthcare professional, got worse, experiencing new"
testicular cancer,"feeling of heaviness in your scrotum, causes of testicular cancer, swelling and enlargement of male breasts, shortness of breath, nausea, cancer research uk has more information about testicular cancer risks and causes., fatigue, reduced beard growth, loss of appetite, read more about the symptoms of testicular cancer and diagnosing testicular cancer., coughing or spitting up blood, a computerised tomography (ct) scan, reddening and soreness of the skin, which is similar to sunburn, leydig cell tumours – which account for around 1 to 3% of cases, difference between one testicle and the other, research has shown that less than 4% of scrotal lumps or swellings are cancerous",,"yolk sac tumours, reduced beard growth, normal urinary patterns, magnetic resonance imaging, enlarged prostate gland, to manufacture cosmetics, similar to sunburn, needing to urinate, 50 to 55, types of pesticide"
testicular cancer: teenagers and young adults,"if after surgery the chance of the cancer coming back is very low, your doctor might suggest you have surveillance. this means having regular checks to look for signs of the cancer coming back. if it does come back and it’s picked up very early, then it’s easy to cure",,"easy to cure, treating testicular cancer, cancer coming back, cancer coming back, tests to find, of testicular cancer, testicular cancer, testicular cancer, go to, come back"
testicular lumps and swellings,"testicular cancer – a more serious health condition, varicoceles – soft lumps that develop gradually above the testicle and on the left side of the scrotum, epididymal cysts – a small, smooth fluid-filled swelling that slowly develops in the epididymis (a coil-like structure behind the testicles that helps to store and transport sperm), • sudden, severe pain in a testicle• testicle pain along with feeling sick, being sick or pain in your tummy• testicle pain that has lasted more than an hour or continues when you’re restingthese can be signs of a serious problem that needs to be treated in hospital as soon as possible.find your nearest a&e, inguinal hernias – when fatty tissue or part of the bowel pokes through into the groin at the top of the inner thigh, testicular torsion– a benign but serious condition caused by the spermatic cord (the cord that supplies blood to the testicles) becoming severely twisted, lumps and swellings in the testicles can have lots of different causes., hydroceles – swellings in the scrotum caused by a build-up of fluid, epididymo-orchitis – inflammation in the epididymis and the testicle caused by bacterial infections such as urinary tract infections (utis), sexually transmitted infections (stis) and mumps",,"testicular torsion –, testicular cancer –, orchitis – inflammation, like structure behind, inguinal hernias –, epididymal cysts –, becoming severely twisted, supplies blood to, serious health condition, helps to store"
thirst,"sickle cell aneamia – an inherited blood disorder, diabetic ketoacidosis – a dangerous complication of diabetes caused by a lack of the hormone insulin in the body, psychogenic polydipsia – where a person with a mental health condition, such as schizophrenia, drinks excessive amounts of water that can’t be excreted (got rid of) by the kidneys, if you feel thirsty all the time and have other symptoms, your gp will probably carry out a blood glucose test to see whether you have diabetes., there are also many other potential causes of severe thirst. these include:, diabetes insipidus – a condition caused by problems with a hormone that regulates the amount of fluid in the body, excessive bleeding, if you feel thirsty all the time, it could be a sign of diabetes – particularly if you also have other symptoms such as needing to urinate frequently, extreme tiredness (fatigue) and unexplained weight loss",inherited blood disorder,"psychogenic polydipsia –, diabetic ketoacidosis –, of severe thirst, got rid of, amount of fluid, mental health condition, type of diabetes, part of, lack of"
threadworms,"weight loss, irritability and wakening up during the night, less common symptoms include:, irritated skin around the anus, extreme itching around the anus or vagina, particularly at night, wetting the bed, treat everyone over 2 years old in your household, even if they do not have symptoms., threadworm infection most commonly affects young children because they often forget to wash their hands and share toys with other children., other symptoms include:",threadworm infection,"forget to wash, extreme itching around, 2 years old, ., children ., , weight loss, treat everyone, share toys, wetting, wakening"
thrush,"an unpleasant smell, treatment is simple and only necessary if you have signs and symptoms of thrush., symptoms of thrush in men include:, white or yellow discharge, irritation, burning and redness around the head of the penis and under the foreskin, you can buy antifungal treatments from most pharmacies if you’ve been diagnosed with thrush in the past and you know the symptoms., there are things you can do to relieve symptoms and stop thrush from coming back",,"difficulty pulling back, darker skin ), , sti ., sometimes, important to take, of thrush ., , of thrush ., , of thrush, of thrush, of thrush, of thrush"
thyroid cancer,"radiotherapy and chemotherapy can be used to slow the progression of anaplastic thyroid carcinoma and help control any symptoms., nausea, these symptoms should be reported to your mdt or gp as you may need to take calcium supplements. most people only need to take a short course of calcium tablets as the parathyroid glands will soon start to function normally again",,"magnetic resonance imaging, familial adenomatous polyposis, 60 %) cases, curing anaplastic cancer, medullary thyroid carcinoma, papillary carcinoma –, treating thyroid cancer, diagnosing thyroid cancer, age of 60, age of 40"
thyroid cancer: teenagers and young adults,"remember – these symptoms can happen for lots of reasons other than cancer., if you think you might have some of these symptoms you should go straight to your gp. they’ll be able to talk to you about your symptoms",,"endocrinologist ), papillary, ray to check, go straight to, number of reasons, lots of reasons, hospital ., follicular, clinical nurse specialist, tests to find, tests to find, treating thyroid cancer"
tick bites,"once you’ve removed a tick, monitor the area where you were bitten. you do not need to speak to your gp if you’ve been bitten and have no symptoms., you should be aware of ticks all year round","risk of getting, borne infection","like lyme disease, try to remove, helps to reduce, guide to check, aware of ticks, attach to, year round, including inflammation"
tinnitus,around 1 in 10 people have persistent tinnitus. around 1 in 100 having severe tinnitus that affects their daily life.,,"severe tinnitus, persistent tinnitus, daily life, around 1, around 1, 10 people, affects, 100"
tonsillitis,"obstructive sleep apnoea (osa) – where the walls of the throat relax during sleep, which causes breathing difficulties and poor sleep, quinsy (peritonsillar abscess) – an abscess (collection of pus) that develops between one of the tonsils and the wall of the throat, headache, complete our self-help guide to check your symptoms and find out what to do next., find out more about your sore throat symptoms, earache, pain when swallowing, feeling sick, white pus-filled spots on the tonsils, a sore throat, coughing, tonsillitis is an infection that causes inflammation (redness and swelling) of the tonsils., feeling tired, bad breath, if oral antibiotics do not help and your symptoms are getting worse, your gp may refer you to hospital for antibiotics to be given into a vein (iv antibiotics)",,"painful lymph glands, 38 ° c, guide to check, days to get, obstructive sleep apnoea, next ., find, collection of pus, throat to check, white pus, to hospital"
toothache,"an injury to the joint that attaches the jaw to the skull (temporomandibular joint), sore or swollen gums around a tooth that’s breaking through – for example, when your wisdom teeth start to come through, sinusitis – which sometimes causes pain around the upper jaw, ulcers on your gums, periodontal abscess – a collection of pus in the gums caused by a bacterial infection, it’s also possible for periodontal disease to give rise to a dull pain. periodontal disease is a bacterial infection that affects the soft and hard structures that support the teeth.",,"collection of pus, swollen gums around, periodontal abscess –, periodontal disease, pain around, upper jaw, sinusitis –, jaw to, injury to, hard structures"
tourette’s syndrome,"singing, a dry or sore throat before grunting, repeating words or phrases, swearing is a rare tic that affects a small number of people with tourette’s syndrome., tourette’s syndrome is a neurological condition that causes you to make involuntary movements and sounds called tics., stuttering, a burning feeling in the eyes before blinking, neck and head jerks, eye blinking, the main symptoms of tourette’s syndrome are tics",,"of tourette ’, urge to tic, tourette ’, urge passes, to control, falling to, – trains, throat clearing, sore throat, response prevention"
transient ischaemic attack (tia),"you should tell the person assessing you about the symptoms you experienced and how long they lasted. this will help to rule out other conditions., during a tia, it’s not possible to tell whether you’re having a tia or a full stroke, so it’s important to phone 999 immediately",blood supply results,"word fast ., , seconds ., confusion, fast test identify, tests to rule, need treatment to, blurring of vision, tia ., however, to rule, blood pressure"
transverse myelitis,"lupus, sometimes transverse myelitis requires no treatment as it will improve on its own. sometimes patients may require treatment for their symptoms, the swelling, or the underlying cause., sjögrens syndrome, bladder problems, myelin oligodendrocyte antibody (mog) associated myelitis, sarcoidosis, there are several different causes of transverse myelitis",,"immune system mistakes, another condition ., , ., sjögrens syndrome, one episode of, affects part of, myelin oligodendrocyte antibody, different treatments available, happen to anyone, of transverse myelitis, of transverse myelitis"
trichomonas infection,"a yellow or green discharge from the vagina or penis, which can sometimes have an unpleasant smell, most people with trichomonas infection will have no symptoms but they can still pass the infection on., pain or a burning sensation when peeing, genital itching and soreness, if you do develop symptoms you may get:","trichomonas infection, infection","green discharge from, unpleasant smell, still pass, genital itching, burning sensation, ., pain, yellow, vagina"
trigeminal neuralgia,"if you visit your dentist, they will ask you questions about your symptoms and investigate your facial pain using a dental x-ray and other means to look for other more common causes, such as a dental infection or cracked tooth., you should see your gp if you experience frequent or persistent facial pain, particularly if standard painkillers such as paracetamol and ibuprofen do not help and a dentist has ruled out any dental causes., your gp will try to identify the problem by asking about your symptoms and ruling out conditions that could be responsible for your pain",nerve damage caused,"thin tube inserted, neck become inflamed, magnetic resonance imaging, central nervous system, allergic skin reactions, specialist to discuss, needed to show, means to look, able to rule"
tuberculosis (tb),"if treatment is completed correctly, you should not need any further checks by a tb specialist afterwards. however, you may be given advice about spotting signs that the illness has returned, although this is rare., being sick, living in crowded conditions, in most healthy people, the immune system (the body’s natural defence against infection and illness) kills the bacteria, and you have no symptoms",tumour necrosis factor,"small cut made, magnetic resonance imaging, anyone aged 65, types of arthritis, of active disease, month course of, lack of appetite, combination of antibiotics, manages to prevent"
type 1 diabetes,"tingling lips, typical symptoms include:, your healthcare team will teach you about looking out for these symptoms and how to manage your ‘sick day’ rules., information, care and support to enable all people with diabetes to control their blood glucose, maintain an acceptable blood pressure and minimise other risk factors for developing complications, abdominal (stomach) pain, you should therefore visit your gp if you have symptoms, which include feeling thirsty, passing urine more often than usual and losing weight unexpectedly (see the list below for more diabetes symptoms)., the symptoms of type 1 diabetes should disappear when you start taking insulin and you get the condition under control",,"structured education programme, place extra pressure, least four times, unable to recognise, including access to, acceptable blood pressure, losing weight unexpectedly, start taking insulin, to stop treatment, support to enable"
type 2 diabetes,"glimepiride, typical symptoms include:, frequent vaginal or penile thrush, the signs and symptoms of type 1 diabetes are usually obvious and develop very quickly, often over a few weeks., losing weight if you’re overweight, and maintaining a healthy weight, keep taking your insulin – it’s very important not to stop treatment when you’re ill; your treatment plan may state whether you need to temporarily increase your dose, taking plenty of regular exercise, dapagliflozin, eating a healthy, balanced diet, feeling very tired, slow to heal cuts or ulcers, read more about the symptoms of type 2 diabetes, if you already have type 2 diabetes, it may be possible to control your symptoms by making the above changes. this also minimises your risk of developing complications",,"possible to control, least four times, frequent urination ., , eye becoming dry, ., blurred vision, type 2 diabetes, type 2 diabetes, time ., diabetes, type 2 –, type 1 –"
ulcerative colitis,"severe abdominal pain, shortness of breath, x-ray, painful and swollen joints (arthritis), blood in your poo becoming more obvious, primary sclerosing cholangitis (psc) – inflammation in the bile ducts, which can lead to liver damage, some people may go for weeks or months with very mild symptoms, or none at all. this is known as remission. this may be followed by periods where the symptoms are particularly troublesome",risk of complications,"primary sclerosing cholangitis, bottom to look, bottom to look, shortness of breath, severe abdominal pain, fever ), stress, first treatment option, arthritis ), blood, of ulcerative colitis"
underactive thyroid,"depression, a slow heart rate, slow movements and thoughts, symptoms usually develop slowly and you may not realise you have a medical problem for several years., you may start on a low dose of levothyroxine, which may be increased gradually, depending on how your body responds. some people start to feel better soon after beginning treatment, while others don’t notice an improvement in their symptoms for several months, it’s not clear what causes hashimoto’s disease, but it runs in families",,"partly missing eyebrows, including :, tell, high blood pressure, blood tests suggest, slow heart rate, lump to form, hormone levels every, vitiligo ., problems, several years ., , type 1 diabetes"
urinary incontinence,"pelvic floor muscle training – your healthcare professional will explain how to do these exercises, urge incontinence – feeling a sudden and very intense need to pee and being unable to stop it, although it’s common, it shouldn’t be thought of as normal. there are things you can do to reduce the chance of this happening and improve your symptoms., overflow incontinence (also called chronic urinary retention) – the bladder cannot completely empty, the causes of urinary incontinence depend on the type",lifestyle changes –,"., overflow incontinence, continuous urinary incontinence, unable to stop, unable to stop, length of time, mixed incontinence –, of urinary incontinence, urinary incontinence, urge incontinence"
urinary incontinence in women,"you shouldn’t wait for symptoms to start. there are things you can do that may help reduce the chance of urinary incontinence in the future., devices that are placed into your vagina or urethra (the tube which carries urine from your bladder out of your body), urge incontinence – when you feel a sudden and very intense need to pass urine and are unable to stop it, although it’s common, it shouldn’t be thought of as normal",urinary tract infection,"stress incontinence –, future ., devices, ., absorbent pads, carries urine from, unable to stop, urine leaks, to start, heavy lifting, exercising ), "
urinary tract infection (uti),"these symptoms could mean you have a kidney infection, which can be serious if it’s not treated as it could cause sepsis., most women are given a 3-day course of antibiotic capsules or tablets. men, pregnant women and people with more serious symptoms may need a slightly longer course",,"quality of life, feeling better ., , guide to check, of 38ºc, treatment ., , specialist ., , sepsis ., , urine tests, urine tests, upper utis"
urinary tract infection (uti) in children,"vomiting, unpleasant-smelling pee, tiredness and lack of energy (lethargy), not gaining weight, pain or a burning sensation when peeing, a change in their normal toilet habits, like wetting themselves or wetting the bed, if necessary, children can also take liquid paracetamol to help ease the symptoms of a uti., not eating properly, needing to pee frequently, cloudy pee, sometimes children can experience side effects whilst taking antibiotics. this can include feeling sick or having an upset stomach",,"normal toilet habits, important to watch, finished ., irritability, lack of energy, ., yellowing of, whites of, uti ., , upset stomach, recurring utis, lethargy ), "
vaginal cancer,"causes of vaginal cancer, blood in your urine, pelvic pain, chemotherapy is usually used in combination with radiotherapy or to control symptoms when a cure is not possible (palliative chemotherapy). it’s usually given by injection (intravenous chemotherapy)., a previous history of vaginal intraepithelial neoplasia (vain) or cervical intraepithelial neoplasia (cin) – abnormal cells in the vagina or cervix that can sometimes become cancerous, pelvic exenteration – removing all of your vagina and surrounding tissue, including the bladder and/or rectum (back passage), radical vaginectomy – removing all of your vagina and pelvic lymph nodes, they may also refer you for blood tests to rule out other causes of your symptoms, such as infection",,"– abnormal cells, sometimes become cancerous, human papilloma virus, age – 7, age – 7, pelvic lymph nodes, pelvic lymph nodes, cervical intraepithelial neoplasia, palliative chemotherapy )., intravenous chemotherapy )., "
