disease,symptom,url_x,letter,name
Gonorrhoea,pain or a burning sensation when peeing,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/gonorrhoea/,G,Gonorrhoea
Angioedema,bupropion – a medication that helps people to give up smoking,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/angioedema/,A,Angioedema
Dysphagia (swallowing problems),cancer – such as mouth cancer or oesophageal cancer,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/dysphagia-swallowing-problems/,D,Dysphagia (swallowing problems)
Impetigo,"To reduce the risk of impetigo returning, make sure any cuts, scratches or bites are kept clean. Ensure any condition that causes broken skin, such as eczema, is treated promptly.",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/impetigo/,I,Impetigo
Asthma,testing airway inflammation – either with a mucus sample or measuring your nitric oxide concentration (a high level can be a sign of airway inflammation),https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/asthma/,A,Asthma
Thyroid cancer: Teenagers and young adults,Treating thyroid cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/thyroid-cancer-teenagers-and-young-adults/,T,Thyroid cancer: Teenagers and young adults
Coronary heart disease,low or undetectable heart beat,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/coronary-heart-disease/,C,Coronary heart disease
Hodgkin lymphoma: Teenagers and young adults,"It’s not known what causes Hodgkin lymphoma. Research is going on to try to find out. Remember, though, it isn’t anything that you’ve done.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/hodgkin-lymphoma-teenagers-and-young-adults/,H,Hodgkin lymphoma: Teenagers and young adults
Transverse myelitis,bowel problems,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/transverse-myelitis/,T,Transverse myelitis
Malaria,vomiting and or diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/malaria/,M,Malaria
Chronic kidney disease,Hypertension causes damage by putting strain on the small blood vessels in the kidneys. This prevents the filtering process from working properly.,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/chronic-kidney-disease/,C,Chronic kidney disease
Epilepsy,the progesterone-only pill (POP) or ‘mini pill’,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/epilepsy/,E,Epilepsy
Kidney cancer,high blood pressure,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/kidney-cancer/,K,Kidney cancer
Cellulitis,"if you usually wear compression stockings – for example, for lymphoedema – avoid these until you’ve recovered",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/cellulitis/,C,Cellulitis
Benign prostate enlargement,"Medication, in combination with the lifestyle changes above, is usually recommended to treat moderate to severe symptoms of benign prostate enlargement.",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/benign-prostate-enlargement/,B,Benign prostate enlargement
Impetigo,"being a carrier of Staphylococcus aureus bacteria – these bacteria can live in the noses of some people without causing problems, but they can sometimes cause impetigo if they get into damaged skin nearby",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/impetigo/,I,Impetigo
Type 2 diabetes,"These signs and symptoms aren’t always as obvious, however, and it’s often diagnosed during a routine check-up.",https://www.nhsinform.scot/illnesses-and-conditions/diabetes/type-2-diabetes/,T,Type 2 diabetes
Multiple myeloma,hair loss,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/multiple-myeloma/,M,Multiple myeloma
Erectile dysfunction (impotence),depression – feelings of extreme sadness that last for a long time,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/erectile-dysfunction-impotence/,E,Erectile dysfunction (impotence)
Meniere’s disease,medicines to treat the symptoms and prevent attacks,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/menieres-disease/,M,Meniere’s disease
Reactive arthritis,stool sample,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/reactive-arthritis/,R,Reactive arthritis
Transient ischaemic attack (TIA),"During a TIA, it’s not possible to tell whether you’re having a TIA or a full stroke, so it’s important to phone 999 immediately. Even if the symptoms disappear, you should still have an urgent assessment by a health professional.",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/transient-ischaemic-attack-tia/,T,Transient ischaemic attack (TIA)
Polymyalgia rheumatica,There’s no specific test for polymyalgia rheumatic. But you should have blood tests to look for things like signs of inflammation before starting any corticosteroid treatment.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/polymyalgia-rheumatica/,P,Polymyalgia rheumatica
Raynaud’s phenomenon,hammer drills,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/raynauds-phenomenon/,R,Raynaud’s phenomenon
Personality disorder,Paranoid personality disorder,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/personality-disorder/,P,Personality disorder
Bowel cancer,"In some cases, your doctor may decide it is best for you to have a simple test in hospital to make sure there is no serious cause for your symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bowel-cancer/,B,Bowel cancer
Allergies,steroids to reduce inflammation (see below),https://www.nhsinform.scot/illnesses-and-conditions/immune-system/allergies/,A,Allergies
Rosacea,"There are a number of things you can do yourself to help keep the symptoms of rosacea under control, including:",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Personality disorder,impulsive behaviour,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/personality-disorder/,P,Personality disorder
Glandular fever,fatigue (extreme tiredness),https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/glandular-fever/,G,Glandular fever
Meningitis,"a computerised tomography (CT) scan to check for any problems with the brain, such as swelling",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/meningitis/,M,Meningitis
Ectopic pregnancy,a brown watery discharge from your vagina,https://www.nhsinform.scot/illnesses-and-conditions/pregnancy-and-childbirth/ectopic-pregnancy/,E,Ectopic pregnancy
Psoriatic arthritis,"Psoriatic arthritis is a long-term condition. When it affects many joints, regular treatment will likely be needed to keep the disease under control.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/psoriatic-arthritis/,P,Psoriatic arthritis
Stomach ache and abdominal pain,"acute cholecystitis – inflammation of the gallbladder, which may need to be removed",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ache-and-abdominal-pain/,S,Stomach ache and abdominal pain
Obesity,snoring,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/obesity/,O,Obesity
Constipation,an abdominal X-ray – where X-ray radiation is used to produce images of the inside of your abdomen,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/constipation/,C,Constipation
Indigestion,"This is because these symptoms may be a sign of an underlying health condition, such as a stomach ulcer or stomach cancer. You may need to be referred for an endoscopy to rule out any serious cause.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/indigestion/,I,Indigestion
Later years (around 50 years and over),Information around the symptoms of menopause,https://www.nhsinform.scot/healthy-living/womens-health/later-years-around-50-years-and-over#menopause-and-post-menopause-health,Unknown,
HIV,"After these symptoms disappear, HIV may not cause symptoms for many years. During this time, HIV continues to be active and causes damage to your immune system.",https://www.nhsinform.scot/illnesses-and-conditions/immune-system/hiv/,H,HIV
Gallstones,cakes and biscuits,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gallstones/,G,Gallstones
Breast cancer (male),car manufacturing plants,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/breast-cancer-male/,B,Breast cancer (male)
Thrush,Symptoms of thrush in women include:,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/thrush/,T,Thrush
Cystic fibrosis,Testing to find out if you carry the faulty gene that causes cystic fibrosis may be useful if:,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/cystic-fibrosis/,C,Cystic fibrosis
Degenerative cervical myelopathy,imbalance or feeling unsteady which may lead to falls,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/degenerative-cervical-myelopathy/,D,Degenerative cervical myelopathy
Skin rashes in children,face,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/skin-rashes-in-children/,S,Skin rashes in children
Bowel incontinence,"In some cases, bowel incontinence may result from a health condition such as dementia or a severe learning disability that causes the person to lose bowel control.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/bowel-incontinence/,B,Bowel incontinence
Dry mouth,"If you contact your dentist or GP, tell them about any other symptoms you’re experiencing. Also tell them about any treatments you’re having. This will help them work out why your mouth is dry.",https://www.nhsinform.scot/illnesses-and-conditions/mouth/dry-mouth/,D,Dry mouth
Dystonia,excessive blinking,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/dystonia/,D,Dystonia
Trichomonas infection,genital itching and soreness,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/trichomonas-infection/,T,Trichomonas infection
Breast cancer (female),Read more about the causes of breast cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/breast-cancer-female/,B,Breast cancer (female)
Food allergy,heartburn and indigestion caused by stomach acid leaking up out of the stomach (gastro-oesophageal reflux disease),https://www.nhsinform.scot/illnesses-and-conditions/nutritional/food-allergy/,F,Food allergy
Diverticular disease and diverticulitis,bowel cancer,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diverticular-disease-and-diverticulitis/,D,Diverticular disease and diverticulitis
Oesophageal cancer,vomiting blood or coughing up blood – although this is uncommon,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/oesophageal-cancer/,O,Oesophageal cancer
Tuberculosis (TB),"TB that affects the lungs is the most contagious type, but it usually only spreads after prolonged exposure to someone with the illness. For example, it often spreads within a family who live in the same house.",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/tuberculosis-tb/,T,Tuberculosis (TB)
Inherited heart conditions,Arrhythmia Alliance UK,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/inherited-heart-conditions/,I,Inherited heart conditions
Low blood pressure,"Each time that you have your blood pressure measured, it is important that the test is carried out under similar conditions to ensure that the results are consistent. If you have a low blood pressure reading, your GP will first consider the everyday causes that might have affected it, before considering the possible underlying causes.",https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/low-blood-pressure-hypotension/,Unknown,
Rosacea,"Rhinophyma is an uncommon, severe symptom of rosacea and takes several years to develop. It almost exclusively affects men.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Self-harm,"signs of depression, such as low mood, tearfulness or a lack of motivation or interest in anything",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/self-harm/,S,Self-harm
Acute lymphoblastic leukaemia,"As the number of blast cells increases there is a drop in the number of red blood cells and platelet cells. This drop causes the symptoms of anaemia, such as tiredness, and increases the risk of excessive bleeding.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,A,Acute lymphoblastic leukaemia
Chronic kidney disease,shortness of breath (dyspnoea),https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/chronic-kidney-disease/,C,Chronic kidney disease
Food allergy,A type of medication called an antihistamine can help relieve the symptoms of a mild or moderate allergic reaction. A higher dose of antihistamine is often needed to control acute allergic symptoms.,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/food-allergy/,F,Food allergy
Heart block,palpitations (irregular heartbeat),https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/heart-block/,H,Heart block
Obstructive sleep apnoea,losing weight,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/obstructive-sleep-apnoea/,O,Obstructive sleep apnoea
Epilepsy,rubbing your hands,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/epilepsy/,E,Epilepsy
Anxiety disorders in children,A child’s anxious personality may be partly determined by the genes they’ve inherited from their parents. Parents of anxious children may recognise the signs and remember feeling and behaving the same when they were younger.,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety-disorders-in-children/,A,Anxiety disorders in children
Vertigo,Symptoms of vertigo may include:,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/vertigo/,V,Vertigo
Parkinson’s disease,The three main symptoms of Parkinson’s disease affect physical movement:,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/parkinsons-disease/,P,Parkinson’s disease
Asthma,peak expiratory flow test – uses a small hand-held device to measure how fast you can blow air out of your lungs in one breath,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/asthma/,A,Asthma
Parkinson’s disease,abdominal pain,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/parkinsons-disease/,P,Parkinson’s disease
Cirrhosis,periods of mental confusion or drowsiness,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/cirrhosis/,C,Cirrhosis
Raynaud’s phenomenon,rheumatoid arthritis – which causes joint pain and swelling,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/raynauds-phenomenon/,R,Raynaud’s phenomenon
Acute pancreatitis,"Pseudocysts usually develop 4 weeks after the symptoms of acute pancreatitis start. In many cases, they don’t cause any symptoms and are only detected during a computerised tomography (CT) scan.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/,A,Acute pancreatitis
Anxiety,social workers,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety/,A,Anxiety
Lupus,Raynaud’s phenomenon a condition that limits the blood supply to your hands and feet when it is cold,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/lupus/,L,Lupus
Liver tumours,tiredness,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/liver-tumours/,L,Liver tumours
Cervical cancer,"The symptoms of cervical cancer aren’t always obvious, and it may not cause any symptoms at all until it’s reached an advanced stage.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/cervical-cancer/,C,Cervical cancer
Anxiety,"Your GP will ask you about your symptoms and your worries, fears and emotions.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety/,A,Anxiety
Myasthenia gravis,tiredness,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/myasthenia-gravis/,M,Myasthenia gravis
Constipation,diuretics (water tablets),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/constipation/,C,Constipation
Acne,comedone extractor – a small pen-shaped instrument that can be used to clean out blackheads and whiteheads,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,A,Acne
Glandular fever,Glandular fever is a type of viral infection that mostly affects young adults.,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/glandular-fever/,G,Glandular fever
Fibromyalgia,Fibromyalgia is a long-term condition that causes pain all over the body.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/chronic-pain/fibromyalgia/,F,Fibromyalgia
Cystitis,"A stand-by antibiotic is a prescription you can take to a pharmacy the next time you have symptoms of cystitis, without needing to visit your GP first.",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/cystitis/,C,Cystitis
Chronic obstructive pulmonary disease (COPD),infections (COPD-I),https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/copd/chronic-obstructive-pulmonary-disease/,C,Chronic obstructive pulmonary disease (COPD)
Testicular lumps and swellings,Lumps and swellings in the testicles can have lots of different causes.,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/testicular-lumps-and-swellings/,T,Testicular lumps and swellings
Diabetes,feeling very thirsty,https://www.nhsinform.scot/illnesses-and-conditions/diabetes/diabetes/,D,Diabetes
Pelvic inflammatory disease,bleeding between periods or after sex,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/pelvic-inflammatory-disease/,P,Pelvic inflammatory disease
Malignant brain tumour (cancerous),"severe, persistent headaches – which are typically worse in the morning or when bending over or coughing",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
Yellow fever,a high temperature (fever),https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/yellow-fever/,Y,Yellow fever
Osteosarcoma,"Treatment often causes side effects, and your child’s doctor will discuss these with you before the treatment starts. Any possible side effects will depend upon the treatment being given and the part of the body that’s being treated.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/osteosarcoma/,O,Osteosarcoma
Low blood pressure,Raise the head of your bed or use extra pillows under your head. This will increase the flow of blood in your body and will also make it easier when you need to get up.,https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/low-blood-pressure-hypotension/,Unknown,
Bronchiectasis,"If your symptoms are getting worse because of infection, you’ll need to be treated with antibiotics.",https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/bronchiectasis/,B,Bronchiectasis
Hiatus hernia,"However, antacid medicines don’t work for everyone. They’re not a long-term solution if symptoms persist or you’re in extreme discomfort.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/hiatus-hernia/,H,Hiatus hernia
Congenital heart disease,tiredness after exercising,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/congenital-heart-disease/,C,Congenital heart disease
Chronic lymphocytic leukaemia,long-term (chronic) osteoarthritis,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/chronic-lymphocytic-leukaemia/,C,Chronic lymphocytic leukaemia
Kidney cancer,high blood pressure (hypertension),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/kidney-cancer/,K,Kidney cancer
Chronic myeloid leukaemia,You may be advised to take regular doses of antibiotics to prevent infections from occurring. You should immediately report any possible symptoms of an infection to your GP or care team because prompt treatment may be required to prevent serious complications.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/chronic-myeloid-leukaemia/,C,Chronic myeloid leukaemia
Arthritis,"Arthritis is a common condition that causes pain and inflammation in a joint. It affects people of all ages, including children.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/arthritis/,A,Arthritis
Attention deficit hyperactivity disorder (ADHD),obsessive-compulsive disorder (OCD),https://www.nhsinform.scot/illnesses-and-conditions/mental-health/attention-deficit-hyperactivity-disorder-adhd/,A,Attention deficit hyperactivity disorder (ADHD)
Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS),poor temperature control,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/myalgic-encephalomyelitis-me-or-chronic-fatigue-syndrome-cfs/,M,Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS)
Addison’s disease,"If cortisol in your blood is low, or your symptoms strongly suggest Addison’s disease, you’ll need to have a synacthen stimulation test to confirm the diagnosis.",https://www.nhsinform.scot/illnesses-and-conditions/glands/addisons-disease/,A,Addison’s disease
Arthritis,ability to move around your home,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/arthritis/,A,Arthritis
Soft tissue sarcomas: Teenagers and young adults,Introduction,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/soft-tissue-sarcomas-teenagers-and-young-adults/,S,Soft tissue sarcomas: Teenagers and young adults
Retinoblastoma: Children,The genetic abnormality in the heritable form of retinoblastoma is now well-understood. But we don’t know what causes non-heritable retinoblastoma.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/retinoblastoma-children/,R,Retinoblastoma: Children
Kidney infection,Kidney infections require prompt treatment with antibiotics to help relieve symptoms and prevent complications developing.,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/kidney-infection/,K,Kidney infection
Long-term effects of COVID-19 (long COVID),"Information about PoTS symptoms, causes and treatments",https://www.nhsinform.scot/long-term-effects-of-covid-19-long-covid/,Unknown,
Liver cancer,"Treatment for advanced liver cancer focuses on relieving symptoms such as pain and discomfort, rather than attempting to slow down the progression of the cancer.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/liver-cancer/,L,Liver cancer
Panic disorder,weight gain or weight loss,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/panic-disorder/,P,Panic disorder
Laryngeal (larynx) cancer,Recovering from laryngeal cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/laryngeal-larynx-cancer/,L,Laryngeal (larynx) cancer
Post-polio syndrome,The symptoms of post-polio syndrome include:,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/post-polio-syndrome/,P,Post-polio syndrome
Benign prostate enlargement,"A CT urogram can be used to check for blockages in your urinary system that could be causing your symptoms, such as a kidney stone or bladder stone. It can also be used to detect any damage in the urinary tract.",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/benign-prostate-enlargement/,B,Benign prostate enlargement
Liver cancer,Read more about the causes of liver cancer.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/liver-cancer/,L,Liver cancer
Psoriatic arthritis,"Symptoms usually develop slowly. This means that many people don’t know they’re developing psoriatic arthritis. In rare cases, symptoms can develop suddenly without warning.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/psoriatic-arthritis/,P,Psoriatic arthritis
Cellulitis,Call 999 or go to your nearest A&E department immediately if you have other symptoms in addition to changes to your skin.,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/cellulitis/,C,Cellulitis
Gallstones,generally feeling unwell,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gallstones/,G,Gallstones
Febrile seizures,a dry mouth,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/febrile-seizures/,F,Febrile seizures
Cerebral palsy,Someone with mixed cerebral palsy may have signs of more than one type of abnormal muscle tone at the same time.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/cerebral-palsy/,C,Cerebral palsy
Gallstones,meat pies,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gallstones/,G,Gallstones
Bile duct cancer (cholangiocarcinoma),a radiologist – a specialist in radiological diagnosis and intervention,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bile-duct-cancer-cholangiocarcinoma/,B,Bile duct cancer (cholangiocarcinoma)
Chlamydia,"red, sticky eyes",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/chlamydia/,C,Chlamydia
Coronary heart disease,"central chest pain or discomfort in the chest that doesn’t go away – it may feel like pressure, tightness or squeezing",https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/coronary-heart-disease/,C,Coronary heart disease
Sinusitis,a blocked nose,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/sinusitis/,S,Sinusitis
Chlamydia,"unusual discharge from the vagina, penis or anus",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/chlamydia/,C,Chlamydia
HIV,weight loss,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/hiv/,H,HIV
Iron deficiency anaemia,nuts and seeds,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/iron-deficiency-anaemia/,I,Iron deficiency anaemia
Head and neck cancer,hearing loss (usually only in one ear),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/head-and-neck-cancer/,H,Head and neck cancer
Migraine,"numbness or a tingling sensation like pins and needles – which usually starts in one hand and moves up your arm before affecting your face, lips and tongue",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/migraine/,M,Migraine
Parkinson’s disease,swallowing difficulties (dysphagia) – this can lead to malnutrition and dehydration,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/parkinsons-disease/,P,Parkinson’s disease
Nasopharyngeal cancer,"a panendoscopy – a more detailed examination of your nose and throat carried out under general anaesthetic (where you’re unconscious) using a series of small, rigid telescopes connected together",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/nasopharyngeal-cancer/,N,Nasopharyngeal cancer
Stomach ache and abdominal pain,period pain – painful muscle cramps in women that are linked to the menstrual cycle,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ache-and-abdominal-pain/,S,Stomach ache and abdominal pain
Cervical spondylosis,"headaches which usually start at the back of the head, just above the neck, and travel over the top to the forehead.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/cervical-spondylosis/,C,Cervical spondylosis
Atopic eczema,"self care techniques, such as reducing scratching and avoiding triggers",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/atopic-eczema/,A,Atopic eczema
Anal cancer,biopsy – where a small tissue sample is removed from your anus during a sigmoidoscopy or proctoscopy so it can be examined in a laboratory under a microscope,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/anal-cancer/,A,Anal cancer
Golfers elbow,Golfer’s elbow symptoms develop when there’s a problem with the tendons around the elbow.  These tendons help with gripping activities.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/arm-shoulder-and-hand-problems-and-conditions/golfers-elbow/,G,Golfers elbow
Paget’s disease of the nipple,chemotherapy – cytotoxic medication that prevents cancer cells from dividing and growing is used to destroy cancer cells,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/pagets-disease-of-the-nipple/,P,Paget’s disease of the nipple
Acne,"blackheads – small black or yellowish bumps that develop on the skin; they’re not filled with dirt, but are black because the inner lining of the hair follicle produces pigmentation (colouring)",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,A,Acne
Pain in the ball of the foot,Some common causes include:,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/pain-in-the-ball-of-the-foot/,P,Pain in the ball of the foot
Cystitis,"having a shower, rather than a bath – this avoids exposing your genitals to the chemicals in your cleaning products for too long",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/cystitis/,C,Cystitis
Hyperglycaemia (high blood sugar),tiredness,https://www.nhsinform.scot/illnesses-and-conditions/blood-and-lymph/hyperglycaemia-high-blood-sugar/,H,Hyperglycaemia (high blood sugar)
Spleen problems and spleen removal,high temperature (fever),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/spleen-problems-and-spleen-removal/,S,Spleen problems and spleen removal
Tennis elbow,This information may be useful for those who have been diagnosed with tennis elbow. People who are experiencing new or ongoing symptoms should contact their healthcare professional.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/arm-shoulder-and-hand-problems-and-conditions/tennis-elbow/,T,Tennis elbow
